ID,Year,Season,Number,Category,Name
2025-a-M,2025,a,M,太陽,太陽
2025-a-N,2025,a,N,恒星・恒星進化,恒星・恒星進化
2025-a-P1,2025,a,P1,星・惑星形成,星・惑星形成（星形成）
2025-a-P2,2025,a,P2,星・惑星形成,星・惑星形成（原始惑星系円盤）
2025-a-P3,2025,a,P3,星・惑星形成,星・惑星形成（惑星系）
2025-a-Q,2025,a,Q,星間現象,星間現象
2025-a-R,2025,a,R,銀河,銀河
2025-a-S,2025,a,S,活動銀河核,活動銀河核
2025-a-T,2025,a,T,銀河団,銀河団
2025-a-U,2025,a,U,宇宙論,宇宙論
2025-a-V1,2025,a,V1,観測機器,観測機器（電波）
2025-a-V2,2025,a,V2,観測機器,観測機器（光赤外・重力波・その他）
2025-a-V3,2025,a,V3,観測機器,観測機器（X線・γ線）
2025-a-W,2025,a,W,コンパクト天体,コンパクト天体
2025-a-X,2025,a,X,銀河形成・進化,銀河形成・進化
2025-a-Y,2025,a,Y,天文教育・広報普及・その他,天文教育・広報普及・その他
2025-a-PDL,2025,a,PDL,ポストデッドライン・ペーパー,Post-deadline papers
2025-b-Z1,2025,b,Z1,企画セッション,微分可能プログラミングで楽しむ天文学研究
2025-b-Z2,2025,b,Z2,企画セッション,地上・宇宙望遠鏡の連携による近赤外線広視野深宇宙探査時代における我が国の戦略
2025-b-M,2025,b,M,太陽,太陽
2025-b-N,2025,b,N,恒星・恒星進化,恒星・恒星進化
2025-b-P1,2025,b,P1,星・惑星形成,星・惑星形成（星形成）
2025-b-P2,2025,b,P2,星・惑星形成,星・惑星形成（原始惑星系円盤）
2025-b-P3,2025,b,P3,星・惑星形成,星・惑星形成（惑星系）
2025-b-Q,2025,b,Q,星間現象,星間現象
2025-b-R,2025,b,R,銀河,銀河
2025-b-S,2025,b,S,活動銀河核,活動銀河核
2025-b-T,2025,b,T,銀河団,銀河団
2025-b-U,2025,b,U,宇宙論,宇宙論
2025-b-V1,2025,b,V1,観測機器,観測機器（電波）
2025-b-V2,2025,b,V2,観測機器,観測機器（光赤外・重力波・その他）
2025-b-V3,2025,b,V3,観測機器,観測機器（X線・γ線）
2025-b-W,2025,b,W,コンパクト天体,コンパクト天体
2025-b-X,2025,b,X,銀河形成・進化,銀河形成・進化
2025-b-Y,2025,b,Y,天文教育・広報普及・その他,天文教育・広報普及・その他
2025-b-PDL,2025,b,PDL,ポストデッドライン・ペーパー,Post-deadline papers
